"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular, .NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Full-stack, Python, Flask, SQLite","https://example.com/full-stack-python-portfolio"
"Blockchain, Solidity, Ethereum","https://example.com/blockchain-portfolio"
"Data Science, R, Shiny","https://example.com/data-science-r-portfolio"
"Big Data, Hadoop, Spark","https://example.com/big-data-portfolio"
"Embedded Systems, C, Assembly","https://example.com/embedded-portfolio"
"Game Development, Unity, C#","https://example.com/game-dev-portfolio"
"AR/VR, Unity, Unreal Engine","https://example.com/ar-vr-portfolio"
"Cloud Computing, AWS, Kubernetes","https://example.com/cloud-computing-portfolio"
"Cybersecurity, Kali Linux, Metasploit","https://example.com/cybersecurity-portfolio"
"Artificial Intelligence, Python, PyTorch","https://example.com/ai-pytorch-portfolio"
"Robotics, ROS, Python","https://example.com/robotics-portfolio"
"Network Engineering, Cisco, BGP","https://example.com/network-engineering-portfolio"
"Data Engineering, Python, Apache Airflow","https://example.com/data-engineering-portfolio"
"Mobile Development, React Native, Redux","https://example.com/mobile-dev-react-native-portfolio"
"Backend, Go, gRPC","https://example.com/go-backend-portfolio"
"Frontend, Svelte, GraphQL","https://example.com/svelte-graphql-portfolio"
"DevOps, Terraform, Prometheus","https://example.com/devops-terraform-portfolio"
"Edge Computing, Rust, WebAssembly","https://example.com/edge-computing-portfolio"
"Quantum Computing, Qiskit, Python","https://example.com/quantum-computing-portfolio"
"Serverless, AWS Lambda, Node.js","https://example.com/serverless-portfolio"
"Chatbot, Python, Rasa","https://example.com/chatbot-portfolio"
"eCommerce, Shopify, Liquid","https://example.com/shopify-portfolio"
"BI Tools, Power BI, DAX","https://example.com/bi-tools-portfolio"
"CRM Development, Salesforce, Apex","https://example.com/salesforce-portfolio"
